,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
0,noise,82990.0,89900.0,7.686318131,4.0,65.0,Wrb-sw-colorfitpro4alpha-std-rgld_pnk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
1,fire-boltt,3799.0,16999.0,77.65162657,4.3,20788.0,BSW046,Square,Black,Silicon,1,3.5,1,1.8,50 - 75 g
2,boat,1999.0,7990.0,74.98122653,3.8,21724.0,Wave Call,Rectangle,Black,Silicon,1,8.0,1,1.7,35 - 50 g
3,fire-boltt,1799.0,19999.0,91.00455023,4.3,13244.0,BSW053,Square,Black,Silicon,1,3.5,1,1.8,75g +
4,noise,1599.0,4999.0,68.01360272,4.1,13901.0,Wrb-sw-colorfitpulsegobuzz-std-blk_blk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
5,noise,1499.0,3999.0,62.51562891,4.0,32704.0,NSW-05,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
6,noise,1999.0,4999.0,60.0120024,4.1,1018.0,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Black,Other,1,8.0,1,1.4,35 - 50 g
7,noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-rpnk_rpnk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
8,noise,1999.0,6499.0,69.24142176,4.1,39479.0,Wrb-sw-colorfitultrase-std-gld_brn,Rectangle,Black,Other,1,8.0,1,1.8,35 - 50 g
9,noise,1999.0,5999.0,66.67777963,4.1,39479.0,Wrb-sw-colorfitultra-std-gry_blk,Rectangle,Black,Other,1,8.0,1,1.8,35 - 50 g
10,noise,1999.0,5999.0,66.67777963,4.1,8765.0,Wrb-sw-colorfitpulse2max-std-blk_blk,Rectangle,Black,Other,1,8.0,1,1.9,35 - 50 g
11,noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-grn_grn,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
12,noise,3799.0,7999.0,52.50656332,3.8,545.0,Wrb-sw-colorfitpro4alpha-std-blk_blk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
13,noise,3499.0,5999.0,41.67361227,3.8,281.0,Wrb-sw-force-std-blk_blk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
14,noise,1999.0,5999.0,66.67777963,4.1,9081.0,wrb-sw-colorfitultrabuzz-std-ogrn_ogrn,Rectangle,Black,Other,1,8.0,1,1.8,35 - 50 g
15,noise,1499.0,4999.0,70.0140028,4.0,93075.0,wrb-sw-colorfitpro2-std-blk,Rectangle,Black,Polycarbonate,1,3.6,1,1.3,20 - 35 g
16,noise,1799.0,4999.0,64.01280256,4.1,13901.0,Wrb-sw-colorfitpulsegobuzz-std-gry_gry,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
17,noise,1999.0,5999.0,66.67777963,4.1,8765.0,Wrb-sw-colorfitpulse2max-std-blu_blu,Rectangle,Black,Other,1,8.0,1,1.9,35 - 50 g
18,noise,1999.0,5999.0,66.67777963,4.1,9081.0,wrb-sw-colorfitultrabuzz-std-blk_blk,Rectangle,Black,Other,1,8.0,1,1.8,35 - 50 g
19,noise,2499.0,5999.0,58.34305718,3.5,227.0,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Black,Other,1,8.0,1,1.3,35 - 50 g
20,noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-blu_blu,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
21,noise,2999.0,5999.0,50.00833472,4.1,5866.0,Wrb-sw-colorfitpro4-std-slvr_org,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
22,boat,2699.0,7990.0,66.22027534,4.2,71481.0,Watch Flash,Rectangle,Black,Silicon,1,8.0,1,1.7,50 - 75 g
23,boat,2499.0,7990.0,68.72340426,4.2,71481.0,8.90E+12,Rectangle,Black,Silicon,1,8.0,1,1.7,50 - 75 g
24,boat,1199.0,6990.0,82.84692418,4.0,27771.0,Watch Flash,Rectangle,Black,Silicon,1,8.0,1,1.3,50 - 75 g
25,boat,1799.0,6990.0,74.26323319,3.9,2931.0,Watch Blaze,Rectangle,Black,Metal,1,8.0,1,1.8,35 - 50 g
26,boat,2599.0,7990.0,67.4718398,4.2,71481.0,8.90E+12,Rectangle,Black,Silicon,1,8.0,1,1.7,75g +
27,boat,1999.0,7990.0,74.98122653,3.6,827.0,Watch Flash,Rectangle,Black,Silicon,1,8.0,1,1.7,35 - 50 g
28,boat,1999.0,7990.0,74.98122653,3.6,827.0,Watch Flash,Rectangle,Black,Silicon,1,8.0,1,1.7,75g +
29,noise,1799.0,4999.0,64.01280256,4.0,69803.0,Wrb-sw-colorfitpulse2-std-blu_blu,Rectangle,Black,Other,1,8.0,1,1.8,35 - 50 g
30,boat,1699.0,6990.0,75.69384835,3.9,23498.0,Wave Lite,Rectangle,Black,Stainless Steel,1,8.0,1,1.7,35 - 50 g
31,noise,1799.0,4999.0,64.01280256,4.1,13901.0,wrb-sw-colorfitpulsegobuzz-std-grn_grn,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
32,boat,1449.0,5990.0,75.8096828,3.9,3944.0,Watch Flash,Rectangle,Black,Silicon,1,22.0,1,1.7,35 - 50 g
33,boat,1899.0,6499.0,70.78012002,3.7,328.0,Watch Flash,Rectangle,Black,Silicon,1,8.0,1,1.7,35 - 50 g
34,boat,2199.0,7999.0,72.50906363,4.0,19590.0,BoAt Wave Call Plus,Rectangle,Black,Silicon,1,22.0,1,1.8,75g +
35,honor,11499.0,18999.0,39.47576188,3.9,406.0,MUS-B19,Circle,Black,Leather,1,12.5,1,1.4,35 - 50 g
36,honor,2199.0,1868.0,-17.71948608,4.1,181.0,ARG-B39-cr,Circle,Black,Leather,1,3.5,1,1.5,<= 20 g
37,honor,11499.0,9773.0,-17.66090249,4.2,20.0,MUS-B19-cr,Circle,Black,Leather,1,12.5,1,1.4,35 - 50 g
38,honor,14999.0,12499.0,-20.00160013,3.9,100.0,Talos-B19S-cr,Circle,Black,Other,1,0.75,1,1.2,75g +
39,crossbeats,2999.0,9999.0,70.0070007,4.3,674.0,Grit,,,,1,12.5,1,1.8,20 - 35 g
40,honor,8999.0,14999.0,40.00266684,4.4,7792.0,ARG-B39-cr,Circle,Black,Leather,1,12.5,1,1.4,35 - 50 g
41,crossbeats,5999.0,14999.0,60.00400027,4.3,996.0,Infinti 2.0,,,,1,8.0,1,1.4,20 - 35 g
42,honor,8999.0,7473.0,-20.42017931,4.1,323.0,Minos-B19S-cr,Circle,Black,Other,1,0.75,1,1.4,75g +
43,samsung,11999.0,30990.0,61.28105841,4.1,72.0,Galaxy Watch 3 41 mm,Circle,Black,Fluoroelastomer,1,3.5,1,1.4,35 - 50 g
44,samsung,18410.0,37999.0,51.55135661,4.3,5228.0,Galaxy Watch 3 41 mm,Circle,Black,Fluoroelastomer,1,3.6,1,4.6,50 - 75 g
45,samsung,24490.0,33999.0,18.60973511,4.3,5228.0,Galaxy Watch 3 41 mm,Circle,Black,Fluoroelastomer,1,3.6,1,4.4,20 - 35 g
